descripcion,precio,porcentaje
Cantu 1.75oz Intensive Repair Deep Treatment Masque,$3.07,-10%
Cantu 12oz  Natural Leave In Conditioning Cream,$14.36,-10%
Cantu 12oz Define & Shine Custard,$16.42,-10%
Cantu 12oz Moisturizing Curl Activator Cream,$15.39,-10%
Cantu 1.75oz Intensive Repair Deep Treatment Masque,$3.07,-10%
Cantu 12oz  Natural Leave In Conditioning Cream,$14.36,-10%
Cantu 12oz Define & Shine Custard,$16.42,-10%
Cantu 12oz Moisturizing Curl Activator Cream,$15.39,-10%
HASK Curl Care Set Completo 5p,$66.69,-15%
HASK Curl Care Set 4p,$52.33,-15%
HASK Set de Coleccion de Aceite de Argán,$43.07,-15%
HASK Set Cuidado de Rubios,$34.88,-15%
HASK Set Coconut Monoi,$34.88,-15%
HASK Set Argán 3,$34.88,-15%
HASK Set Argán 2,$34.88,-15%
HASK Set Biotina,$33.85,-15%
HASK Curl Care Acondicionador Profundo Intensivo 6.7oz,$15.39,-10%
HASK Spray sin enjuague 5-en-1 Rubios,$14.36,-10%
HASK Curl Care Crema Definidora de Rizos 6.7oz,$14.36,-10%
HASK Curl Care 5 In 1 Leave In Spray,$14.36,-10%
HASK Tratamiento Acondicionador Profundo Nutritivo de Coco Monoi,$14.36,-10%
HASK Aceite Abrillantador y Nutritivo de Coco Monoi,$14.36,-10%
Creightons No Más Frizz Control Total Shampoo,$5.12,-10%
Creightons Arcilla Acondicionador Equilibrante.,$5.12,-10%
Creightons Micellar Desintoxicante  e Hidratante Acondicionador,$5.12,-10%
Set Creightons Castaño Hermoso Set Shampoo y Acondicionador,$10.25,-15%
Creightons Castaño Hermoso Shampoo,$5.12,-10%
Creightons Castaño Hermoso Acondicionador,$5.12,-10%
SPA DAYS Fabuloso Set Shampoo & Acondicionador - Cabello Castano,$20.49,-15%
Tree Hut Purifying Blueberry & Turmeric Face Scrub,$20.53,-10%
Tree Hut Hydrating Watermelon & Cactus Face Scrub,$20.53,-10%
Tree Hut Exfoliante Corporal Cotton Candy,$21.55,-10%
Tree Hut Crema Corporal de Karité y Mango Tropical 198g,$18.47,-30%
Tree Hut Exfoliante Corporal Coco Colada,$21.55,-10%
Tree Hut Exfoliante Corporal Vitamin C,$21.55,-10%
"Tree Hut Exfoliante de Azúcar, Karité y Rosa Marroquí",$21.55,-10%
Tree Hut Crema Corporal de Karité y Rosa Marroquí 198g,$18.47,-30%
"Tree Hut Exfoliante de Azúcar, Karité, Coco Y Lima",$21.55,-10%
"Tree Hut Loción Corporal Humectante De Karité, Coco Y Lima 198g",$14.36,-30%
"Tree Hut Crema Corporal de Karité, Coco y Lima 198g",$18.47,-30%
"Tree Hut Exfoliante de Azúcar, Karité y Mango Tropical",$21.55,-10%
Tree Hut Exfoliante Corporal Watermelon,$21.55,-10%
Tree Hut Jabón Líquido Corporal Coco Colada,$21.04,-10%
Tree Hut Jabón Líquido Corporal Rosa Marroquí,$21.04,-10%
"TOPPIK Fibras Capilares - Tamano Economico 27.5gr
 - castaño claro",$42.09,-50%
"TOPPIK Fibras Capilares - Tamaño Regular 12GR
 - LighBrown",$25.66,-50%
"TOPPIK FIBRAS CAPILARES - TAMAÑO VIAJE 3gr
 - Medium Brown",$7.18,-10%
TOPPIK Spray Fijador de Fibras,$16.42,-10%
TOPPIK Aplicador Atomizador,$19.50,-10%
Tree Hut Purifying Blueberry & Turmeric Face Scrub,$20.53,
Tree Hut Hydrating Watermelon & Cactus Face Scrub,$20.53,
Tree Hut Exfoliante Corporal Cotton Candy,$21.55,
Tree Hut Crema Corporal de Karité y Mango Tropical 198g,$18.47,
Tree Hut Exfoliante Corporal Coco Colada,$21.55,
Tree Hut Exfoliante Corporal Vitamin C,$21.55,
"Tree Hut Exfoliante de Azúcar, Karité y Rosa Marroquí",$21.55,
Tree Hut Crema Corporal de Karité y Rosa Marroquí 198g,$18.47,
"Tree Hut Exfoliante de Azúcar, Karité, Coco Y Lima",$21.55,
"Tree Hut Loción Corporal Humectante De Karité, Coco Y Lima 198g",$14.36,
